level_0,index,ts,T,H,PMS1,PMS2_5,PMS10,CO2,NO2,CO,VoC,C2H5OH,ID,Loc,Customer,Ph,Valid,Valid_CO2,bkps
2275,2275,2023-06-22 00:37:55,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2276,2276,2023-06-22 00:37:56,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2277,2277,2023-06-22 00:37:57,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2278,2278,2023-06-22 00:37:58,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2279,2279,2023-06-22 00:37:59,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2280,2280,2023-06-22 00:38:00,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2281,2281,2023-06-22 00:38:01,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2282,2282,2023-06-22 00:38:02,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2283,2283,2023-06-22 00:38:03,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2284,2284,2023-06-22 00:38:04,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2285,2285,2023-06-22 00:38:05,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2286,2286,2023-06-22 00:38:06,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2287,2287,2023-06-22 00:38:07,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2288,2288,2023-06-22 00:38:08,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2289,2289,2023-06-22 00:38:09,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2290,2290,2023-06-22 00:38:10,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2291,2291,2023-06-22 00:38:11,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2292,2292,2023-06-22 00:38:12,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2293,2293,2023-06-22 00:38:13,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2294,2294,2023-06-22 00:38:14,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2295,2295,2023-06-22 00:38:15,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2296,2296,2023-06-22 00:38:16,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2297,2297,2023-06-22 00:38:17,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2298,2298,2023-06-22 00:38:18,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2299,2299,2023-06-22 00:38:19,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2300,2300,2023-06-22 00:38:20,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2301,2301,2023-06-22 00:38:21,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2302,2302,2023-06-22 00:38:22,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2303,2303,2023-06-22 00:38:23,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2304,2304,2023-06-22 00:38:24,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2305,2305,2023-06-22 00:38:25,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2306,2306,2023-06-22 00:38:26,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2307,2307,2023-06-22 00:38:27,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2308,2308,2023-06-22 00:38:28,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2309,2309,2023-06-22 00:38:29,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2310,2310,2023-06-22 00:38:30,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2311,2311,2023-06-22 00:38:31,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2312,2312,2023-06-22 00:38:32,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2313,2313,2023-06-22 00:38:33,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2314,2314,2023-06-22 00:38:34,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2315,2315,2023-06-22 00:38:35,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2316,2316,2023-06-22 00:38:36,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2317,2317,2023-06-22 00:38:37,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2318,2318,2023-06-22 00:38:38,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2319,2319,2023-06-22 00:38:39,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2320,2320,2023-06-22 00:38:40,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2321,2321,2023-06-22 00:38:41,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2322,2322,2023-06-22 00:38:42,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2323,2323,2023-06-22 00:38:43,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
2324,2324,2023-06-22 00:38:44,27.5,41.5,10.0,16.0,18.0,947.0,430.0,138.0,548.0,655.0,121.0,Study Desk,A5,XXXX,1,1,0
